scorer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer,AndreTelfer
bodyparts,left_ear,left_ear,right_ear,right_ear,nose,nose,body_N,body_N,body_E,body_E,body_S,body_S,body_W,body_W,left_eye_N,left_eye_N,left_eye_E,left_eye_E,left_eye_S,left_eye_S,left_eye_W,left_eye_W,right_eye_N,right_eye_N,right_eye_E,right_eye_E,right_eye_S,right_eye_S,right_eye_W,right_eye_W
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\Rat 2 LPS 1\img00000.png,1297.5612247161725,758.2938025708481,1396.965939779394,761.8125535465374,,,1266.7721536788915,804.0375652548084,1426.8753230727525,935.1110390992332,1241.2612091051444,1107.5298369080067,1089.0752294065842,935.9907268431555,,,,,,,,,,,,,,,,
labeled-data\Rat 2 LPS 1\img01323.png,,,1498.039613622554,945.9584789693381,1616.7757973315206,1094.334880603768,1254.3209287582754,868.4745740713488,1570.6451776949257,1021.8439068891188,1250.7263350203589,1105.7177607738367,1073.3930439498124,986.4970684662734,,,,,,,,,1553.870406917982,1026.6366985396742,1566.45148500069,1037.4204797534235,1553.870406917982,1042.8123703602982,1540.0911309226356,1032.0285891465487
labeled-data\Rat 2 LPS 1\img17072.png,,,1511.21535266106,975.7886867562538,1601.985951806868,1128.9640728148045,1220.1821191498138,895.2297800143494,1490.224651608592,997.3467040533832,1224.153332862443,1110.809952985643,1074.38184427186,995.077439074738,,,,,,,,,1545.2543273407382,1057.482225987481,1553.1967547659963,1067.126602146723,1544.6870110960767,1067.126602146723,1535.609951181496,1060.3188072107873
labeled-data\Rat 2 LPS 1\img19623.png,,,1516.23278410074,977.787464990484,1592.2503457258315,1132.957333049949,1221.5667720282204,895.5004137468283,1494.2895704357652,1002.0817372624203,1214.5135962073357,1112.5814917896153,1077.3685108012428,995.0285614415357,,,,,,,,,1545.4226015901722,1059.2463024066874,1556.4654526228708,1073.138921447824,1546.4912645933368,1070.2891534393857,1537.2295185659123,1063.16473341829
labeled-data\Rat 2 LPS 1\img24044.png,,,1514.5859198610979,977.9987159547766,1589.8584706868403,1133.4175798899423,1217.8279496991786,898.3939319879843,1487.5094627295362,988.8292988074013,1209.1634834170789,1115.5471181831115,1079.1964891855812,988.2877696647702,,,,,,,,,1544.9115518484473,1059.7696164920937,1557.366722128966,1073.3078450578748,1543.2869644205539,1070.6001993447185,1535.7055564237164,1062.4772622052499
labeled-data\Rat 2 LPS 1\img41117.png,1458.5408989143261,1011.8925241609347,1311.70913995517,946.813246380503,,,1186.929037103433,916.693911209394,1424.6566468468286,1017.8088221409739,1189.0804181870835,1117.310197259816,993.8425848457881,1014.581750515498,,,,,,,,,1322.4660453734232,1055.9958363757728,1318.7011284770347,1073.206885044978,1305.2549967042182,1061.3742890848994,1309.5577588715194,1046.3146214993449
labeled-data\Rat 2 LPS 1\img51152.png,,,1424.263091477084,992.6158118339367,1494.950291577301,1149.184656915726,1152.7449677276518,898.8066303925272,1438.1362802817994,1032.9141221714438,1150.1024555743727,1096.3344138501432,965.1266048448326,1001.8646043704138,,,,,,,,,1461.9188896613116,1081.8005970071079,1467.20391396787,1096.3344138501432,1453.991353201474,1091.7100175819046,1444.7425606649972,1075.8549446622299
